,genres,title,genres_encoded
0,"['action', 'casual', 'indie', 'simulation', 'strategy']",Lost summoner kitty,225
1,"['free to play', 'indie', 'rpg', 'strategy']",Ironbound,683
2,"['casual', 'free to play', 'indie', 'simulation', 'sports']",Real pool 3d - poolians,572
3,"['action', 'adventure', 'casual']",弹炸人2222,70
4,"['action', 'adventure', 'simulation']",Battle royale trainer,159
5,"['free to play', 'indie', 'simulation', 'sports']",Snow - all access basic pass,687
6,"['free to play', 'indie', 'simulation', 'sports']",Snow - all access pro pass,687
7,"['free to play', 'indie', 'simulation', 'sports']",Snow - all access legend pass,687
8,"['casual', 'indie', 'racing', 'simulation']",Race,607
9,"['action', 'indie', 'simulation', 'early access']",Uncanny islands,333
10,"['action', 'adventure', 'casual', 'indie', 'rpg']",Army of tentacles: (not) a cthulhu dating sim: black goat of the woods edition,46
11,"['casual', 'indie']",Beach rules,633
12,"['casual', 'indie', 'simulation']",Planetarium 2 - zen odyssey,626
13,"['adventure', 'casual', 'indie', 'simulation', 'strategy']",The first thrust of god,434
14,"['free to play', 'indie', 'simulation', 'sports']",Snow - starter pack,687
15,"['adventure', 'casual', 'indie', 'simulation', 'strategy']",The first thrust of god - all aircrafts,434
16,"['free to play', 'indie', 'simulation', 'sports']",Snow - lifetime pack,687
17,"['action', 'adventure', 'indie']",The warrior of treasures,138
18,"['racing', 'simulation', 'sports']",Rc plane 3 - canyon scenario,795
19,"['racing', 'simulation', 'sports']",Rc plane 3 - f-53b,795
20,"['action', 'indie']",Dinoblaster,345
21,"['action', 'indie', 'racing']",Carmageddon max pack,324
22,['action'],Half-life,393
23,"['action', 'indie', 'rpg']",Fallen mage,332
24,"['casual', 'indie', 'strategy']",Lost cities,632
25,['action'],Twisted enhanced edition,393
26,"['casual', 'indie', 'simulation']",Vaporwave simulator,626
27,"['action', 'casual', 'indie', 'massively multiplayer', 'simulation', 'sports', 'strategy']",Tactics forever,196
28,"['adventure', 'casual', 'indie']",Christmas santa troubles,440
29,"['action', 'adventure', 'rpg']",Underdone - soundtrack,156
30,"['adventure', 'casual', 'indie', 'rpg']",Bitcoin clicker,429
31,['strategy'],Disciples ii: gallean's return,838
32,['strategy'],Disciples ii: rise of the elves,838
33,"['action', 'indie', 'rpg']",The ship: murder party,332
34,['strategy'],United tactics,838
35,"['indie', 'massively multiplayer', 'rpg', 'early access']",Life of rome,726
36,"['adventure', 'free to play', 'rpg', 'early access']",Idle adventure,473
37,"['action', 'indie', 'strategy', 'early access']",Souland,343
38,"['action', 'adventure', 'indie', 'rpg', 'strategy']",Darkness and a crowd,127
39,"['action', 'adventure', 'indie', 'rpg']",Tarotica voo doo,128
40,"['casual', 'strategy', 'early access']",Chronicles of vinland,649
41,"['action', 'indie']",Orbitality,345
42,"['action', 'adventure', 'casual']",Atomic adam: episode 1,70
43,"['adventure', 'casual', 'free to play', 'indie']",Mirt. tales of the cold land. chapter 2,401
44,['action'],Advent rising,393
45,"['indie', 'strategy']",Defcon,776
46,"['action', 'indie', 'rpg']",The ship: single player,332
47,"['indie', 'simulation']",Garry's mod,771
48,['racing'],Race - the wtcc game,799
49,"['casual', 'indie']",Zen of sudoku,633
50,"['casual', 'indie']",Gumboy - crazy adventures™,633
51,['strategy'],Ghost master®,838
52,['strategy'],Vegas: make it big™,838
53,"['adventure', 'rpg']",Dreamfall: the longest journey,514
54,['racing'],Flatout 2™,799
55,['racing'],Flatout,799
56,"['action', 'adventure']",Lost planet™: extreme condition,164
57,['strategy'],Civcity: rome,838
58,['rpg'],Arx fatalis,813
59,"['action', 'adventure', 'rpg']",The longest journey,156
60,['strategy'],Civilization iv®: warlords,838
61,['strategy'],Railroad tycoon 3,838
62,['strategy'],Sid meier's railroads!,838
63,['strategy'],Railroad tycoon ii platinum,838
64,"['casual', 'indie']",Rip - trilogy™,633
65,['strategy'],X-com: terror from the deep,838
66,"['action', 'adventure']",Tomb raider: anniversary,164
67,['action'],Devil may cry® 3 special edition,393
68,"['action', 'adventure']",Sam &amp; max 101: culture shock,164
69,['action'],Final doom,393
70,"['indie', 'rpg']",Vigil: blood bitterness™,762
71,"['action', 'adventure']",Sam &amp; max 102: situation: comedy,164
72,['action'],Ultimate doom,393
73,['action'],Master levels for doom ii,393
74,['action'],Doom ii,393
75,['action'],Wolfenstein 3d,393
76,['action'],Return to castle wolfenstein,393
77,['action'],Quake mission pack 1: scourge of armagon,393
78,['action'],Spear of destiny,393
79,['action'],Bloodrayne,393
80,['action'],Quake mission pack 2: dissolution of eternity,393
81,['action'],Quake,393
82,['strategy'],Genesis rising,838
83,['strategy'],"Warhammer® 40,000: dawn of war® – winter assault",838
84,"['action', 'rpg']",Bioshock™,376
85,['strategy'],"Warhammer® 40,000: dawn of war® - game of the year edition",838
86,['strategy'],"Warhammer® 40,000: dawn of war® - dark crusade",838
87,['strategy'],Rome: total war™ - collection,838
88,['strategy'],Rome: total war™ - alexander,838
89,['casual'],Mystery case files: madame fate®,652
90,['action'],Grand theft auto,393
91,['action'],Grand theft auto 2,393
92,['action'],Manhunt,393
93,['racing'],Midnight club 2,799
94,['action'],Max payne 2: the fall of max payne,393
95,"['action', 'adventure']",Tomb raider: legend,164
96,['action'],Max payne,393
97,['strategy'],Command &amp; conquer: red alert 3,838
98,['casual'],Puzzlequest: challenge of the warlords,652
99,"['rpg', 'casual', 'adventure']",Culpa innata,800
100,['strategy'],Prison tycoon 3™: lockdown,838
101,"['action', 'adventure', 'strategy']",Hunting unlimited™ 2008,163
