,genres,title,item_id
0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,228440
6,"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,113020
1590,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,3910
1642,"['Action', 'Adventure', 'Casual']",弹炸人2222,238210
1696,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,72850
74355,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,241600
74888,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,242880
75116,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,228960
75124,"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,248820
78111,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,252490
146511,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,249870
146565,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,219990
146605,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,94400
147025,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,219830
147241,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,265300
147277,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,211820
165199,"['Action', 'Indie']",DinoBlaster,249050
165295,['Adventure'],Sherlock Holmes: Crimes and Punishments,237990
165343,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,274170
165462,['Action'],Half-Life,222880
177540,"['Action', 'Indie', 'RPG']",Fallen Mage,254700
177596,['Action'],Twisted Enhanced Edition,298630
178604,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,214190
178684,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,302590
178687,"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,304930
334863,"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,215080
334926,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,316010
335082,['Strategy'],Disciples II: Gallean's Return,265750
335092,['Strategy'],Disciples II: Rise of the Elves,321830
335095,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,287450
335214,"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,730
884308,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,322330
893515,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,250900
897211,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,345520
897246,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,391540
900150,"['Action', 'Indie']",Orbitality,368230
900166,['Action'],Advent Rising,214850
900232,"['Indie', 'Strategy']",DEFCON,4000
1191607,"['Action', 'Indie', 'RPG']",The Ship: Single Player,10090
1192632,"['Indie', 'Simulation']",Garry's Mod,17390
1193622,['Racing'],RACE - The WTCC Game,17410
1196842,"['Casual', 'Indie']",Zen of Sudoku,41000
1196906,"['Casual', 'Indie']",Gumboy - Crazy Adventures™,8930
1221806,['Strategy'],Ghost Master®,8980
1223606,['Strategy'],Vegas: Make It Big™,50300
1225531,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,620
1264742,['Racing'],FlatOut 2™,20920
1266333,['Racing'],FlatOut,105600
1360449,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,57900
1360599,['RPG'],Arx Fatalis,107100
1362587,"['Action', 'Adventure', 'RPG']",The Longest Journey,113200
1372817,['Strategy'],Civilization IV®: Warlords,67370
1373178,['Strategy'],Railroad Tycoon 3,48000
1374114,['Strategy'],Sid Meier's Railroads!,104900
1381481,['Strategy'],Railroad Tycoon II Platinum,204360
1391849,"['Casual', 'Indie']",RIP - Trilogy™,220240
1396529,['Strategy'],X-COM: Terror From the Deep,219740
1410854,['Action'],Devil May Cry® 3 Special Edition,104700
1411778,"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,230410
1470629,['Action'],Final DOOM,243870
1483431,"['Indie', 'RPG']",Vigil: Blood Bitterness™,286080
1483684,"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,237310
1484334,['Action'],Ultimate Doom,286100
1484562,['Action'],Master Levels for Doom II,216150
1485208,['Action'],DOOM II,8870
1499722,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,233270
1500372,['Action'],Spear of Destiny,220200
1504564,['Action'],BloodRayne,65930
1504774,['Action'],QUAKE,206420
1514821,['Strategy'],Genesis Rising,252950
1526039,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",49520
1581786,"['Action', 'RPG']",BioShock™,265930
1597746,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",8880
1597753,['Strategy'],Rome: Total War™ - Collection,282900
1597828,['Strategy'],Rome: Total War™ - Alexander,294860
1598053,['Casual'],Mystery Case Files: Madame Fate®,238460
1605003,['Action'],Grand Theft Auto,237930
1605458,['Action'],Grand Theft Auto 2,304050
1614338,['Racing'],Midnight Club 2,227700
1615528,['Action'],Max Payne 2: The Fall of Max Payne,312990
1617288,"['Action', 'Adventure']",Tomb Raider: Legend,227940
1638908,['Action'],Max Payne,6880
1639088,['Strategy'],Command &amp; Conquer: Red Alert 3,8190
1655162,['Casual'],PuzzleQuest: Challenge of the Warlords,333600
1655302,"['RPG', 'Casual', 'Adventure']",Culpa Innata,333930
1668009,"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,345610
1668011,['Racing'],18 Wheels of Steel: American Long Haul,351640
1668089,['Action'],Conflict: Denied Ops,356670
1668251,['Action'],ARMA: Combat Operations,261640
1670807,['Simulation'],Tycoon City: New York,370240
1670847,['Action'],Desperados 2: Cooper's Revenge,383080
1671487,"['Action', 'Adventure']",Death to Spies,385800
1671537,['Action'],Act of War: High Treason,386360
1672769,['Action'],Unreal 2: The Awakening,236110
1673891,['Action'],Unreal Gold,225540
1674407,['Action'],Far Cry®,377160
1682437,['Action'],Unreal Tournament: Game of the Year Edition,50130
1683197,['Action'],Tom Clancy's Rainbow Six® Vegas,273350
1685837,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,10
1687214,['Casual'],Mystery P.I.™ - The Vegas Heist,80
1687586,['Casual'],Reaxxion,240
1712898,['Casual'],7 Wonders II,20900
1713392,['Casual'],Luxor Amun Rising,31280
1715554,['Casual'],Luxor 2,99900
1721994,"['Action', 'Adventure']",Rayman Raving Rabbids™,102700
1722074,['Simulation'],IL-2 Sturmovik: 1946,218230
1754957,['Racing'],Midnight Outlaw: 6 Hours to SunUp,224260
1774056,['Adventure'],Bone: The Great Cow Race,218620
1896508,"['Casual', 'Indie', 'Sports']",Tower Mode,282660
1896514,['Casual'],Mahjongg Investigations: Under Suspicion,291480
1900414,['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,323370
1901899,"['Simulation', 'Strategy']",Pacific Storm Allies,346900
1906669,"['Action', 'Indie']",Tank Universal,292030
1908321,['Racing'],FlatOut: Ultimate Carnage,373680
1908356,['Adventure'],Oddworld: Abe's Exoddus®,291550
1910148,['Strategy'],X-COM: Enforcer,319630
1913899,['Strategy'],X-COM: Apocalypse,70
1916027,['Strategy'],X-COM: UFO Defense,2310
1916039,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,400
1923487,['Action'],Crysis,22300
1923825,"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,24960
1924707,"['Strategy', 'Simulation']",Children of the Nile: Alexandria,209080
1927367,['Strategy'],Sid Meier's Civilization IV: Colonization,236390
1953367,"['Action', 'Adventure']",LEGO Batman,271290
1958316,"['Simulation', 'Strategy']",City Life 2008,236090
1959057,"['RPG', 'Strategy']",Hinterland,242920
1960212,['Action'],Brothers in Arms: Hell's Highway™,238010
1960810,"['Indie', 'Casual']",Gravitron 2,550
2070860,['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,246620
2071328,['Action'],Brothers in Arms: Earned in Blood™,301520
2095892,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,200510
2099977,['Casual'],Peggle™ Nights,313120
2100714,['Action'],Mare Nostrum,342200
2100756,"['Casual', 'Indie']",Spectraball,346010
2102709,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,57300
2104669,['Simulation'],PRR Wagon Pack 01,15700
2104939,['Simulation'],"Class 421 London South East ""Jaffa Cake""",299360
2106197,['Simulation'],ATSF Wagon Pack 01,221380
2109923,['Simulation'],GP20 Union Pacific Add-on Livery,355950
2109931,['Simulation'],CSX ES44AC Add-on Livery,15620
2110365,['Action'],Saints Row 2,20570
2110551,"['Action', 'Adventure']",Mirror's Edge™,56400
2111388,"['Indie', 'Strategy']",Defense Grid: The Awakening,219640
2129838,"['Strategy', 'Indie']",Harvest: Massive Encounter,208480
2130163,"['Action', 'Indie']",Larva Mortus,256410
2130259,['Strategy'],Knights of Honor,236850
2131105,['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,8000
2131114,['Action'],Watchmen: The End is Nigh,20
2131564,"['Action', 'Adventure', 'Indie']",Penumbra Overture,50
2131668,['RPG'],Drakensang,130
2131740,"['Casual', 'Strategy']",Age of Booty™,220
2149694,"['Indie', 'Simulation']",The Graveyard,280
2149862,['Racing'],Burnout Paradise: The Ultimate Box,320
2150610,['Action'],Zombie Master,340
2151858,"['Action', 'Indie']",The Maw,360
2151990,"['Action', 'Indie']",The Maw: River Redirect,380
2152950,"['Action', 'Indie']",The Maw: Brute Force,420
2154033,"['Casual', 'Indie']",Obulis,12900
2154423,['Indie'],Space Giraffe,22000
2154472,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,9480
2155768,['Casual'],Escape Rosecliff Island,10500
2156652,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,17470
2157228,"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,24740
2158208,"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,1250
2180219,"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,35420
2180495,['Casual'],Puzzle Kingdoms,6060
2184815,['Casual'],Samantha Swift and the Golden Touch,6000
2185090,['RPG'],Two Worlds Epic Edition,25890
2185200,"['Action', 'Adventure', 'RPG']",X-Blades,32400
2185260,"['Action', 'Indie']",Zeno Clash,6030
2185296,['Indie'],The Maw: Speeder Lane,6020
2185634,"['RPG', 'Strategy']",King's Bounty: The Legend,40700
2185664,"['Casual', 'Simulation']",Virtual Families,24800
2185702,['Racing'],Death Track®: Resurrection,17450
2185714,"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,40400
2185726,"['RPG', 'Strategy']",Freedom Force,23490
2185780,"['Indie', 'Simulation', 'Strategy']",Light of Altair,32440
